[2026-08-15T14:50:11.836Z] GET http://localhost:8877/simple/quartiers.html → 200 (14ms, 1134B)
[2026-08-15T14:50:11.864Z] GET http://localhost:8877/simple/assets/simple.css → 200 (16ms, 7546B)
[2026-08-15T14:50:11.864Z] GET http://localhost:8877/simple/assets/simple.js → 200 (246ms, 2847B)
[2026-08-15T14:50:44.449Z] GET http://localhost:8877/simple/chauffeurs.html?q=Hamdallaye → 200 (7ms, 2408B)
[2026-08-15T14:50:44.477Z] GET http://localhost:8877/simple/assets/simple.css → 200 (3ms, 7546B)
[2026-08-15T14:50:44.480Z] GET http://localhost:8877/simple/assets/simple.js → 200 (1ms, 2847B)
[2026-08-15T14:52:11.858Z] GET http://localhost:8877/simple/chauffeur.html → 200 (12ms, 2195B)
[2026-08-15T14:52:11.910Z] GET http://localhost:8877/simple/assets/simple.css → 200 (1ms, 7546B)
[2026-08-15T14:52:11.919Z] GET http://localhost:8877/simple/assets/photos/flotte-equipee.jpg → 200 (1ms, 87631B)
[2026-08-15T14:52:16.273Z] GET http://localhost:8877/simple/index.html → 200 (8ms, 1530B)
[2026-08-15T14:52:16.294Z] GET http://localhost:8877/simple/assets/simple.css → 200 (3ms, 7546B)
[2026-08-15T14:52:16.298Z] GET http://localhost:8877/simple/assets/photos/dossier-en-usage.jpg → 200 (?ms, 50993B)
[2026-08-15T14:52:19.373Z] GET http://localhost:8877/simple/quartiers.html → 200 (7ms, 1134B)
[2026-08-15T14:52:19.404Z] GET http://localhost:8877/simple/assets/simple.css → 200 (1ms, 7546B)
[2026-08-15T14:52:19.406Z] GET http://localhost:8877/simple/assets/simple.js → 200 (1ms, 2847B)
[2026-08-15T14:52:22.438Z] GET http://localhost:8877/simple/chauffeurs.html → 200 (8ms, 2408B)
[2026-08-15T14:52:22.462Z] GET http://localhost:8877/simple/assets/simple.css → 200 (?ms, 7546B)
[2026-08-15T14:52:22.464Z] GET http://localhost:8877/simple/assets/simple.js → 200 (1ms, 2847B)
[2026-08-15T14:52:25.851Z] GET http://localhost:8877/simple/chauffeur.html → 200 (5ms, 2195B)
[2026-08-15T14:52:25.876Z] GET http://localhost:8877/simple/assets/simple.css → 200 (?ms, 7546B)
[2026-08-15T14:52:25.882Z] GET http://localhost:8877/simple/assets/photos/flotte-equipee.jpg → 200 (?ms, 87631B)
[2026-08-15T14:54:37.876Z] GET https://lucman223.github.io/bogna-ni-karama/simple/ → pending (?ms, ?B)
[2026-08-15T14:54:41.047Z] GET https://lucman223.github.io/bogna-ni-karama/simple/assets/simple.css → 200 (382ms, 7546B)
[2026-08-15T14:54:41.048Z] GET https://lucman223.github.io/bogna-ni-karama/simple/assets/photos/dossier-en-usage.jpg → 200 (384ms, 50993B)
